x
ZNF423
ZNF423
CYB5B
CYB5B
ANKRD11
GSE1
BEST1
BEST1
FURIN
APOA1
NA
TBR1
TBR1
RACGAP1
ID1
LRRC19
NFIA
NFIA
TUBGCP2
TUBGCP2
ST3GAL3
NA
HMG14
SOCS3
ANKRD40
ANKRD40
NA
NA
MFHAS1
MFHAS1
NA
XPO7
XPO7
ZC3H12A
MACF1
MACF1
CRABP2
NLRC5
ANKRD11
CBFA2T3
ZNF469
LAMP2
GAL
BEST1
BEST1
CPSF7
RIOX1
ANKRD9
ANKRD9
TCF12
NA
NA
NA
SSPO
JAM3
JAM3
JAM3
RCJMB04_21H11
SMTN
SMTN
DNAJB5
RACGAP1
ACVR1
NA
TPX2-B
ADAMTSL2
PROM1A
ADRB1
DMRTA2
TAL1
TAL1
PTPRF
HES1-B
HES1-B
NA
PLXNC1
CANT1
NPLOC4
SOX9
CACNA1G
EPN3
COLEC12
SLC25A25
SLC25A25
NA
XPO7
XPO7
ANK1
SSTR4
ELP3
PLXND1
SEMA3B
GATA2
GATA2
SRSF1
SRSF1
DNALI1
MACF1
HMGCL
PANK4
PANK4
CAMTA1
DNAJC11
PLEKHA6
PLEKHA6
JUP
WNK4
WNK4
STARD3
STARD3
STARD3
HOXB2
UBTF
UBTF
UBTF
SLC25A39
PSMD11
PSMD11
SPDEF
ZBTB7A
ZBTB7A
HSD11B1L
HSD11B1L
NFIC
NFIC
NFIC
NFIC
GRAMD2B
NA
NA
NA
TCF3
TCF3
CILP2
MEF2B
FKBP8
DOT1L
GLI1
LFNG
TOM1L2
NA
FAF2
