x
CRABP2
ATXN1L
PEX16
ANKRD9
NA
JAM3
NEFH
DNAJB5
NFIA
CTBP2
TAL1
HES1-B
HES1-B
HES1-B
ANKRD40
SLC25A25
XPO7
CISH
CISH
CISH
GATA2
SPECC1
CAMTA1
PSMD11
NFIC
NFIC
TCF3
SRL
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
Unannotated
