sample	mean_coverage	median_coverage
321_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.9538	22
32_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.4665	21
33_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.7938	25
365_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.4851	15
366_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.1152	15
407_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.9842	16
408_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.5598	20
409_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.9119	27
410_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.5975	25
49_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.7159	29
50_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.3445	18
51_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.4438	20
52_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.3827	24
121_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.7263	18
122_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.4531	13
123_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.2854	17
177_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	46.3029	33
178_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.3131	22
179_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.1237	22
180_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.3915	22
181_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.4761	25
182_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.0777	21
28_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	82.8394	52
294_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.7849	14
295_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.6437	13
29_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.7697	25
30_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	44.2475	29
372_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.3622	20
373_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	45.4703	28
374_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.2175	25
375_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	51.9389	33
376_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	67.1962	44
63_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.2712	13
65_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.1527	18
66_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.631	18
111_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.169	27
112_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.6916	25
13_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.1381	29
15_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	49.6014	30
184_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	54.0394	33
18_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.2147	22
1_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.9608	24
22_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.9261	16
250_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.2048	19
253_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.067	14
25_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.5194	22
2_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.2292	19
31_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.0231	22
32_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.9932	22
42_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.4797	27
44_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.358	20
55_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.5154	21
56_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.9113	20
60_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.0597	26
63_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.0501	12
64_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.3275	18
6_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.9015	16
