library	sample	base	mean	median	lower_quartile	upper_quartile	10th_percentile	90th_percentile
lib1	110_trimmed_filt_merged.2	55-59	34.7983334691869	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	60-64	34.662917853934715	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	65-69	34.4872603636279	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	70-74	34.358911166877036	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	75-79	34.157298488398006	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	80-84	34.016779770409826	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	85-89	33.88841235255715	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	90-94	33.72553144607217	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	95-99	33.55090455469163	37.0	37.0	37.0	25.0	37.0
lib1	110_trimmed_filt_merged.2	100-104	33.35551592561969	37.0	37.0	37.0	13.8	37.0
lib1	110_trimmed_filt_merged.2	105-109	33.197604362052594	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	110-114	32.97057500243067	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	115-119	32.56981740135427	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	120-124	32.254393958493644	37.0	37.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	125-129	31.99474767888513	37.0	29.8	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	130-134	31.832480987452715	37.0	25.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	135-139	31.558990867019013	37.0	25.0	37.0	11.0	37.0
lib1	110_trimmed_filt_merged.2	140-141	31.356515819726724	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	1	36.14394852920518	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	2	36.178597664334745	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	3	35.13647571151631	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	4	35.45500182620178	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	5	35.51213515766209	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	6	35.522798677642605	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	7	35.593873701757836	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	8	35.613822942713455	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	9	35.562794182376685	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	10-14	35.56786109628298	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	15-19	35.417433165697375	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.1	20-24	35.271546922067486	37.0	37.0	37.0	34.6	37.0
lib1	111_trimmed_filt_merged.1	25-29	35.11214849054581	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	30-34	34.975894666598506	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	35-39	34.86701691263538	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	40-44	34.683161279504446	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	45-49	34.5403033288095	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	50-54	34.40092152487248	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	55-59	34.226175239983846	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	60-64	34.11272176724857	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	65-69	33.92849253376325	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	70-74	33.79163948736326	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	75-79	33.62213495074034	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	80-84	33.454211358760354	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.1	85-89	33.296724054209236	37.0	37.0	37.0	16.6	37.0
lib1	111_trimmed_filt_merged.1	90-94	33.14479134084424	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	95-99	32.926520309930424	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	100-104	32.73950873551706	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	105-109	32.62921445517201	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	110-114	32.4284032536699	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	115-119	32.227867458810096	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	120-124	32.00963206076071	37.0	32.2	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	125-129	31.843255817970146	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	130-134	31.677199564215993	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	135-139	31.406295592036678	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.1	140-141	31.3784858650221	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	1	36.41539928263048	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	2	36.17043988050085	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	3	36.011937740566964	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	4	36.02152445705616	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	5	36.126953239869266	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	6	36.17903782578971	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	7	36.166463817791886	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	8	36.148072186478615	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	9	36.13682240890063	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	10-14	36.0998595229399	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	15-19	35.934573989267555	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	20-24	35.75487690948544	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	25-29	35.585611899136744	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	30-34	35.41844242047112	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	35-39	35.301825093748654	37.0	37.0	37.0	37.0	37.0
lib1	111_trimmed_filt_merged.2	40-44	35.15261752420596	37.0	37.0	37.0	29.8	37.0
lib1	111_trimmed_filt_merged.2	45-49	34.96221120968109	37.0	37.0	37.0	25.0	37.0
