id,born,site,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,age,year,on.lek,lekking,tenureyear,surv,leksize,density,tarsus,wing,mass,lyre,blue,eyec,attend,fight,dist,MS,mean_ig_post,mean_ig_pre,mean_ig,mean_caro_post,mean_caro_pre,mean_caro,smlh,froh1,spots_feather,spots_tip,mean_hct_post,mean_hct_pre,mean_hct,mean_rbc_area_post,mean_rbc_area_pre,mean_rbc_width_post,mean_rbc_width_pre,mean_rbc_length_post,mean_rbc_length_pre,mean_rbc_area,mean_rbc_length,mean_rbc_width,mean_microf_post,mean_microf_pre,mean_leuco_post,mean_leuco_pre,mean_trypa_post,mean_trypa_pre,mean_microf,mean_leuco,mean_trypa
D154299,2002,TEE,D299,Teerisuo,3,1,LLS,2,3,3,2005,1,1,2,0,6,7.1,60.2,271,1330,NA,0.255,4.93,1,0.36,9.49,3,5743516,3193891,4468703.5,28.2049574522631,16.3294539054523,24.2464562699928,0.986851318170515,0.181120516466163,0,0,0.505,0.5033,0.50415,NA,71.9791,NA,6.5102,NA,12.7227,71.9791,12.7227,6.5102,125,77.5,5.5,0.5,114.5,0,101.25,3,57.25
D211308,2001,NYR,D308,Nyrölä,2,1,LLS,2,1,1,2002,1,1,1,1,16,6.2,59.6,267,1270,187,0.252,NA,0.88,NA,19.45,0,NA,851274.833333333,851274.833333333,NA,NA,NA,0.987778217685162,0.189265644835397,NA,NA,0.5246,0.514166666666667,0.516775,NA,78.869,NA,8.1168,NA,12.7242,78.869,12.7242,8.1168,150,0.333333333333333,NA,NA,NA,NA,75.1666666666667,NA,NA
D211308,2001,NYR,D308,Nyrölä,2,1,LLS,2,1,2,2003,1,1,2,0,13,7.4,58.7,273,1280,213,0.253,3.5,0.95,0.51,9.74,1,453260,497618.5,482832.333333333,NA,NA,NA,0.987778217685162,0.189265644835397,NA,NA,0.5274,0.543918918918919,0.535659459459459,NA,77.8173,NA,7.8195,NA,12.6512,77.8173,12.6512,7.8195,5,0,0,0,0,0,2.5,0,0
D211312,2000,NYR,D312,Nyrölä,5,NA,NA,NA,NA,2,2002,1,0,NA,NA,NA,6.2,55.9,268,1170,218,NA,3.42,0.03,NA,NA,0,NA,NA,NA,NA,NA,NA,0.986996887093524,0.158516536468882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211312,2000,NYR,D312,Nyrölä,5,NA,NA,NA,NA,3,2003,1,1,NA,NA,NA,7.4,56,268,1100,214,0.271,3.88,0.79,0.31,29.9,1,NA,NA,NA,NA,NA,NA,0.986996887093524,0.158516536468882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211312,2000,NYR,D312,Nyrölä,5,NA,NA,NA,NA,4,2004,1,1,NA,NA,NA,7,57.4,271,1110,217,0.277,4.91,0.97,0.19,13,0,NA,NA,NA,NA,NA,NA,0.986996887093524,0.158516536468882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211312,2000,NYR,D312,Nyrölä,5,NA,NA,NA,NA,5,2005,1,1,NA,NA,NA,7.1,56.2,267,1070,214,0.272,2.65,0.88,0.15,17.12,0,1194991,1482388,1338689.5,31.1161871466802,22.2477866365167,28.1600536432923,0.986996887093524,0.158516536468882,NA,NA,NA,0.50055,0.50055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.75,NA,0,NA,33.75,49.75,0,33.75
D211320,2001,NYR,D320,Nyrölä,4,2,LLS,2,14,1,2002,1,0,NA,1,16,6.2,59.6,268,1220,193,0.276,3.44,0.01,NA,NA,0,1521608,2462641,2227382.75,NA,NA,NA,0.995140313196027,0.152855724847888,NA,NA,0.5092,0.530833333333333,0.525425,NA,73.0824,NA,7.6674,NA,12.0074,73.0824,12.0074,7.6674,1.5,0,0.5,0,NA,0,0.75,0.25,0
D211320,2001,NYR,D320,Nyrölä,4,2,LLS,2,14,2,2003,1,1,1,1,13,7.4,NA,272,NA,NA,NA,NA,1,0.31,13.79,8,NA,NA,NA,NA,NA,NA,0.995140313196027,0.152855724847888,NA,NA,0.4988,NA,0.4988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211320,2001,NYR,D320,Nyrölä,4,2,LLS,2,14,3,2004,1,0,2,1,13,7,NA,NA,NA,NA,NA,NA,0.04,NA,NA,0,NA,NA,NA,NA,NA,NA,0.995140313196027,0.152855724847888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211320,2001,NYR,D320,Nyrölä,4,2,LLS,2,14,4,2005,1,1,3,0,15,7.1,59.7,271,1340,233,0.268,4.63,0.95,0.34,3,6,NA,NA,NA,NA,27.0208601833134,27.0208601833134,0.995140313196027,0.152855724847888,0,0,NA,0.5167,0.5167,NA,71.3107,NA,7.2964,NA,12.1114,71.3107,12.1114,7.2964,NA,70.5,NA,0,NA,0,70.5,0,0
D211334,2000,LEH,D334,Lehtusuo,6,NA,NA,NA,NA,2,2002,1,1,NA,NA,NA,6.2,59.1,273,1230,218,NA,NA,0.5,0.75,34.05,0,NA,NA,NA,NA,NA,NA,1.01170241862839,0.149146883996617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211334,2000,LEH,D334,Lehtusuo,6,NA,NA,NA,NA,3,2003,1,1,NA,NA,NA,7.4,60.8,273,1280,213,0.287,4.88,1,0.1,15.04,0,NA,NA,NA,NA,NA,NA,1.01170241862839,0.149146883996617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211334,2000,LEH,D334,Lehtusuo,6,NA,NA,NA,NA,4,2004,1,1,NA,NA,NA,7,59.6,272,1310,219,0.283,3.19,0.97,0.17,6,0,NA,NA,NA,NA,NA,NA,1.01170241862839,0.149146883996617,NA,NA,NA,0.5203,0.5203,NA,78.41,NA,7.626,NA,13.098,78.41,13.098,7.626,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211334,2000,LEH,D334,Lehtusuo,6,NA,NA,NA,NA,5,2005,1,1,NA,NA,NA,7.1,59.6,276,1300,216,0.289,2.78,1,0.48,7.21,1,2484637,2321370,2403003.5,7.08259074413956,33.8937851191007,20.4881879316201,1.01170241862839,0.149146883996617,NA,NA,0.4955,0.5328,0.51415,NA,74.9005,NA,7.103,NA,13.433,74.9005,13.433,7.103,138.333333333333,77.5,0,0,9.33333333333333,0,107.916666666667,0,4.66666666666667
