id,core,year,age,age_cat,lifespan,site,born,julian,MS,dist,attend,fight,eyec,blue,surv,eyec_nextyear,blue_nextyear,spots_tip_nextyear,lyre_nextyear,attend_nextyear,fight_nextyear,dist_nextyear,MS_nextyear
D211445,No core,2005,NA,adult,NA,TEE,NA,56,11,11.18,0.99,0.24,4.41,0.277,1,5.89,0.27,NA,232,0.93,0.16,21.54,1
D217896,No core,2006,NA,adult,NA,KUM,NA,30,9,6.95,0.89,NA,NA,0.247,1,NA,NA,NA,NA,0.96,0.47,26.93,3
D217910,No core,2005,NA,adult,NA,NYR,NA,46,0,10,0.95,0.24,4.27,0.256,1,NA,0.256,NA,232,0.97,NA,47,0
D217911,No core,2005,NA,adult,NA,NYR,NA,21,0,15.23,0.83,0.26,3.39,0.279,1,3.12,0.272,NA,225,NA,NA,NA,NA
D217961,No core,2006,NA,adult,NA,NYR,NA,20,0,43,0.98,NA,NA,0.235,1,3.53,0.264,NA,226,0.99,0.43,12.65,0
D229082,No core,2006,NA,adult,NA,NYR,NA,20,NA,NA,0,NA,NA,0.251,1,NA,NA,NA,NA,NA,NA,NA,NA
D229093,No core,2006,NA,adult,NA,NYR,NA,13,NA,NA,0,NA,NA,0.226,1,NA,NA,NA,NA,NA,NA,NA,NA
D229160,No core,2005,NA,adult,NA,SAA,NA,41,16,11.18,1,0.37,3.3,0.28,1,NA,0.23,NA,232,0.96,NA,15.81,34
D229160,No core,2006,NA,adult,NA,SAA,NA,44,34,15.81,0.96,NA,NA,0.23,1,NA,0.23,NA,228,0.64,0.2,15.23,1
D229165,No core,2007,NA,adult,NA,KUM,NA,71,1,19.5,0.96,0.35,NA,0.255,1,5.49,0.239,NA,210,0.15,0.25,5.66,0
D229509,No core,2006,NA,adult,NA,KUM,NA,30,0,NA,0.19,NA,NA,0.226,1,NA,NA,NA,NA,0.28,0.13,27.46,0
D229633,No core,2006,NA,adult,NA,SAA,NA,37,0,15.52,1,NA,NA,0.257,1,3.54,0.273,NA,247,NA,NA,NA,NA
D229679,No core,2006,NA,adult,NA,KUM,NA,58,0,28.52,0.61,NA,NA,0.262,1,NA,0.263,NA,235,0.93,0.66,29.41,8
D229679,No core,2007,NA,adult,NA,KUM,NA,16,8,29.41,0.93,0.66,NA,0.263,1,NA,0.312,NA,236,1,0.35,22.2,3
D229734,No core,2006,NA,adult,NA,KUM,NA,23,0,21.64,0.89,NA,NA,0.247,1,NA,NA,NA,NA,0.91,0.13,37.22,0
D229771,No core,2006,NA,adult,NA,NYR,NA,20,0,NA,0,NA,NA,0.243,1,NA,NA,NA,NA,NA,NA,NA,NA
D229783,No core,2006,NA,adult,NA,NYR,NA,26,0,18.36,0.75,NA,NA,0.276,1,NA,NA,NA,NA,1,0.28,5.1,1
