"","Sample","lib","aligned_reads","ambig_reads","discarded_reads","meth_chg","meth_chh","meth_cpg","no_alignments","percent_aligned","percent_chg_meth","percent_chh_meth","percent_cpg_meth","strand_ctob","strand_ctot","strand_directional","strand_ob","strand_ot","total_c","total_reads","unmeth_chg","unmeth_chh","unmeth_cpg","Filename","File type","Encoding","Total Sequences","Sequences flagged as poor quality","Sequence length","%GC","total_deduplicated_percentage","avg_sequence_length","median_sequence_length","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","sample_id"
"15","197","lib1",4246978,275726,2157,4794598,1276238,18477339,5029716,44.4597075924216,6.1,0.9,30.4,0,0,"directional",2130260,2114561,288386138,9552420,73708661,147839762,42289540,"197_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9552420,0,"20-141",33,29.7808729540317,120.699980214438,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","fail","pass","lib1_197"
"16","213","lib1",1919954,100798,918,2187976,586413,8013289,2238416,45.0781467178566,5.9,0.8,27.4,0,0,"directional",960153,958883,136029709,4259168,34601670,69365126,21275235,"213_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4259168,0,"20-141",33,35.509351121471,124.266806568795,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_213"
"17","214","lib1",6344536,281515,3501,7323023,2087239,28534827,8219637,42.7365575782005,5.6,0.9,25.1,0,0,"directional",3184020,3157015,482789597,14845688,123223463,236643586,84977459,"214_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",14845688,0,"20-141",34,24.6215827910358,128.270860535396,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_214"
"18","215","lib1",2310779,145363,1097,2657237,797492,10193784,2784694,44.0918013843593,5.9,0.9,30.6,0,0,"directional",1160593,1149089,164286257,5240836,42061556,85442949,23133239,"215_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5240836,0,"20-141",33,37.2941796932312,126.428632378498,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_215"
"19","216","lib1",650908,34230,294,752502,236492,2836282,737755,45.7453933640829,5.9,1,29.4,0,0,"directional",327912,322702,47000527,1422893,11957061,24391090,6827100,"216_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1422893,0,"20-141",33,43.529206206134,127.518788130942,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib1_216"
"20","217","lib1",1868211,101213,823,2120035,567593,7642943,1987625,47.2122281023055,6,0.8,28.6,0,0,"directional",936468,930920,129459402,3957049,32937311,67072865,19118655,"217_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3957049,0,"20-141",33,35.7077745453296,122.790971251556,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib1_217"
"21","218","lib1",2636452,154536,1424,3007067,814253,12506940,3183477,44.1286709353892,5.9,0.8,31,0,0,"directional",1319855,1315173,188181969,5974465,48330755,95700148,27822806,"218_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5974465,0,"20-141",34,32.9475163468724,123.703982197569,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_218"
"22","71","lib1",1464416,98600,511,1600745,354918,5276293,1349567,50.2789448403702,6.4,0.7,30.5,0,0,"directional",733218,730687,91313600,2912583,23433824,48621738,12026082,"71_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2912583,0,"20-141",32,39.2984584202927,115.853351131968,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib1_71"
"23","115","lib2",886235,100447,366,1018040,225531,3131727,842004,48.4629400564121,9,1.3,27.6,0,0,"directional",442589,443280,39678518,1828686,10283584,16819121,8200515,"115_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1828686,0,"20-141",39,60.0992197741225,76.6019272854935,62,"pass","pass","warn","pass","fail","pass","pass","warn","warn","warn","pass","lib2_115"
"24","116","lib2",97337,10182,43,115276,32744,421146,112132,44.314389645392,7.5,1.3,29.7,0,0,"directional",48654,48640,5375982,219651,1416570,2394318,995928,"116_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",219651,0,"20-141",38,49.435444388674,98.2227852365799,117,"pass","pass","fail","pass","fail","fail","pass","warn","fail","fail","pass","lib2_116"
"25","151","lib2",6334268,414089,2564,7426287,2304770,24330342,5355759,52.3315209470894,6.6,1.1,29.3,0,0,"directional",3171577,3160127,402283006,12104116,104260359,205184331,58776917,"151_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",12104116,0,"20-141",33,25.5317258158138,114.182285182991,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_151"
"26","152","lib2",1777899,155333,724,2048881,616875,5556934,1543969,51.1301762538317,7.6,1.3,25.6,0,0,"directional",894428,882747,97029284,3477201,24795410,47850277,16160907,"152_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3477201,0,"20-141",34,38.6577501227418,97.3856918251203,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_152"
"27","1","lib2",5739792,474246,2727,6650100,1980604,19274976,6101373,46.6065809740333,7.3,1.2,24.5,0,0,"directional",2886585,2850480,331983667,12315411,84680953,160128189,59268845,"1_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",12315411,0,"20-141",35,28.6489898257439,100.54364738619,127,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib2_1"
"28","243","lib2",59833,7127,11,70534,18622,235635,60060,47.105180286569,8.3,1.4,29.9,0,0,"directional",29491,30331,2985474,127020,779576,1328693,552414,"243_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",127020,0,"20-141",38,52.4137931034483,90.6974649661471,97,"pass","pass","fail","pass","fail","fail","pass","warn","warn","fail","pass","lib2_243"
"29","244","lib2",1727513,165625,942,1997706,481273,5575297,1791316,46.8865400409396,7.7,1.2,22,0,0,"directional",861285,865286,90775766,3684454,24018905,38898485,19804100,"244_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3684454,0,"20-141",38,39.8885508058306,90.3177051470856,92,"pass","pass","pass","pass","fail","warn","pass","warn","fail","fail","pass","lib2_244"
"30","245","lib2",2265851,214251,1254,2656295,692751,7444210,2532424,45.2037755016134,7.6,1.3,21.6,0,0,"directional",1131283,1133314,122501737,5012526,32240007,52404692,27063782,"245_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5012526,0,"20-141",38,35.9222041734791,93.3484416838935,102,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_245"
"31","246","lib2",1294367,125684,549,1496530,376501,4064223,1289632,47.7682075726201,7.5,1.2,22,0,0,"directional",647752,646066,70153961,2709683,18582075,31195855,14438777,"246_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2709683,0,"20-141",37,38.8558110076141,96.7063737713969,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_246"
"32","247","lib2",2287317,232926,1147,2635981,649458,8334080,2168935,48.7786345495948,7.3,1.1,26.3,0,0,"directional",1139713,1146457,125597293,4689178,33694754,56927671,23355349,"247_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4689178,0,"20-141",37,34.2303475322449,98.1640014518536,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_247"
