"","Sample","lib","aligned_reads","ambig_reads","discarded_reads","meth_chg","meth_chh","meth_cpg","no_alignments","percent_aligned","percent_chg_meth","percent_chh_meth","percent_cpg_meth","strand_ctob","strand_ctot","strand_directional","strand_ob","strand_ot","total_c","total_reads","unmeth_chg","unmeth_chh","unmeth_cpg","Filename","File type","Encoding","Total Sequences","Sequences flagged as poor quality","Sequence length","%GC","total_deduplicated_percentage","avg_sequence_length","median_sequence_length","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","sample_id"
"117","187","lib6",1681710,127350,740,1957311,546417,6297036,1834806,46.1518068995951,7.2,1.2,25,0,0,"directional",845046,835924,99246049,3643866,25137121,46460775,18847389,"187_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3643866,0,"20-141",35,36.1629949905323,100.146978236851,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_187"
"118","188","lib6",2793205,207777,1586,3221299,941461,11642449,3220870,44.8934658040725,6.8,1.1,28.6,0,0,"directional",1402247,1389372,173861576,6221852,44437738,84556810,29061819,"188_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6221852,0,"20-141",35,30.0731034828812,106.951349212421,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib6_188"
"119","206","lib6",3414325,231599,1822,3980908,1150726,11740496,3586294,47.2099292360933,7,1.1,23.6,0,0,"directional",1708576,1703927,207466983,7232218,52515683,100024541,38054629,"206_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7232218,0,"20-141",34,31.9008118961728,105.105664541639,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_206"
"120","207","lib6",414606,33907,200,479476,139520,1646440,487691,44.2858607739339,7.4,1.2,27.3,0,0,"directional",208778,205628,23785468,936204,5971887,11171596,4376549,"207_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",936204,0,"20-141",36,53.5623502903908,98.1540668486783,112,"pass","pass","warn","pass","fail","pass","pass","warn","warn","fail","pass","lib6_207"
"121","208","lib6",1742426,129167,875,2226928,944223,6252809,1986529,45.1625428122802,8.2,2,24.6,0,0,"directional",874246,867305,99808660,3858122,24880820,46372700,19131180,"208_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3858122,0,"20-141",35,40.0780150824731,98.4843887777525,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_208"
"122","209","lib6",3954201,283381,2160,4881118,1806557,15659890,4542524,45.0359141450001,7.6,1.6,26,0,0,"directional",1986179,1965862,235318470,8780106,59301650,109110208,44559047,"209_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8780106,0,"20-141",36,32.1987538587861,101.819784977539,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_209"
"123","273","lib6",1450449,100405,502,1792171,719704,5376734,1323320,50.4648987848335,7.7,1.7,28,0,0,"directional",729084,720863,85214544,2874174,21397446,42078179,13850310,"273_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2874174,0,"20-141",34,39.9925110366988,104.803934626087,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_273"
"124","274","lib6",1682890,126293,874,2049465,737434,5458936,1807709,46.5286218112125,8.1,1.7,22.6,0,0,"directional",844193,837823,91863034,3616892,23190881,41704211,18722107,"274_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3616892,0,"20-141",36,42.3490616083727,92.0184478828784,92,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_274"
"125","275","lib6",3468889,246833,1567,4206568,1454595,11739120,3039034,51.3547639618663,7.8,1.5,25.3,0,0,"directional",1737551,1729771,194532321,6754756,49710649,92752615,34668774,"275_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6754756,0,"20-141",35,35.8470812509229,96.60181137557,107,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_275"
"126","305","lib6",3817885,303186,1955,4599169,1607535,12161205,4014953,46.9256850766419,8.2,1.7,23.2,0,0,"directional",1918848,1897082,204647859,8136024,51760266,94307337,40212347,"305_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8136024,0,"20-141",35,37.1363389977634,91.0405902194979,87,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_305"
"127","306","lib6",2769635,235977,1412,3358543,1236261,9098278,2880079,47.0570915122795,8,1.7,24.4,0,0,"directional",1391142,1377081,152312219,5885691,38458108,71917796,28243233,"306_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5885691,0,"20-141",35,37.6862179258609,94.4798461217213,102,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_306"
"128","43","lib6",4222398,268599,1665,5170718,1882013,15610032,3598984,52.1929285124403,7.6,1.5,28.2,0,0,"directional",2113532,2107201,245044892,8089981,62470629,120115497,39796003,"43_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8089981,0,"20-141",34,33.4696820592961,101.732669829509,127,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_43"
"129","45","lib6",4397666,291141,2264,5289286,1866256,16731038,4972534,45.5181739263732,7,1.4,25,0,0,"directional",2208099,2187303,277755721,9661341,70247339,133552698,50069104,"45_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9661341,0,"20-141",34,27.8453952144924,109.814157061634,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_45"
"130","46","lib6",4243721,321666,2540,5173354,1961445,16805137,4951614,44.5909483460178,6.9,1.4,26.9,0,0,"directional",2123208,2117973,275408877,9517001,69308892,136439508,45720541,"46_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9517001,0,"20-141",34,28.4974518819305,115.126705776326,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_46"
"131","98","lib6",785714,53700,574,973278,364958,3243977,1014437,42.3828020698535,7.3,1.6,25.3,0,0,"directional",394136,391004,49444241,1853851,12449335,22842886,9569807,"98_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1853851,0,"20-141",36,42.77203682591,107.619721865457,127,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_98"
"132","99","lib6",1999533,130221,914,2399923,793870,7953935,1889798,49.7451706060775,7.3,1.3,27.8,0,0,"directional",999357,999262,120771814,4019552,30681040,58273297,20669749,"99_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4019552,0,"20-141",34,35.6415870750372,105.553264393644,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib6_99"
"133","126","lib7",4302099,328637,1873,5054466,1693497,16463399,4421881,47.5232631624645,6.9,1.3,27.6,0,0,"directional",2167843,2132383,266973027,9052617,68008061,132556806,43196798,"126_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9052617,0,"20-141",34,34.2789598967916,108.442769864228,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_126"
"134","127","lib7",1941543,143973,738,2298106,879488,7354188,1712947,51.1139110740318,6.9,1.4,30.3,0,0,"directional",982068,958737,122245828,3798463,30972345,63840237,16901464,"127_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3798463,0,"20-141",32,36.5148610069442,114.260843399027,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","fail","pass","lib7_127"
"135","161","lib7",5886779,372713,3389,7083750,2482043,23292523,7057010,44.2066467605382,6.7,1.3,24.4,0,0,"directional",2959593,2923797,391472804,13316502,98885993,187627835,72100660,"161_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",13316502,0,"20-141",35,32.7292055159008,114.99688904789,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib7_161"
"136","162","lib7",8848756,471062,4806,10819997,3998762,36474990,10184330,45.3685851850591,6.5,1.3,25,0,0,"directional",4443795,4400155,612070607,19504148,155429031,295728771,109619056,"162_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",19504148,0,"20-141",34,34.3285364597658,119.39385206675,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_162"
"137","163","lib7",6628000,430504,3850,7915126,2686380,27916850,7460830,45.6494767597467,6.5,1.2,27.2,0,0,"directional",3326973,3297177,449647542,14519334,114761823,221536733,74830630,"163_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",14519334,0,"20-141",34,37.0080268317721,118.759387655109,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib7_163"
"138","250","lib7",2059453,115510,1006,2477685,895370,8441622,2403909,44.9773000861348,6.7,1.3,25.6,0,0,"directional",1038216,1020231,136577685,4578872,34383146,65813994,24565868,"250_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4578872,0,"20-141",35,35.6836599439569,114.658374595315,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","fail","pass","lib7_250"
"139","251","lib7",1459842,73971,755,1794972,675073,6379785,1569682,47.0386451403982,6.3,1.3,26.4,0,0,"directional",730444,728643,104072081,3103495,26531972,50949081,17741198,"251_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3103495,0,"20-141",34,37.6425540358043,122.277793262113,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib7_251"
"140","252","lib7",2353001,105075,1224,2882512,1044077,11841865,2371083,48.7248607883899,6.1,1.2,31,0,0,"directional",1175265,1176512,170076867,4829159,44007824,83998933,26301656,"252_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4829159,0,"20-141",35,36.0160816627218,122.992574483466,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib7_252"
"141","254","lib7",1575716,77625,761,1922880,714187,6498854,1749741,46.3026162754821,6.3,1.3,24.6,0,0,"directional",791745,783210,111753108,3403082,28375312,54356588,19885287,"254_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3403082,0,"20-141",34,36.8865712883353,121.380645838096,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib7_254"
"142","255","lib7",1978483,119058,985,2383174,891146,7781247,2098288,47.1535660771685,6.5,1.3,25.8,0,0,"directional",994595,982903,135424959,4195829,34467372,67536098,22365922,"255_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4195829,0,"20-141",34,36.2858476106174,118.491763606191,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_255"
"143","256","lib7",2245122,120516,1139,2710838,986559,8494418,2327126,47.84220983625,6.4,1.3,24.6,0,0,"directional",1125273,1118710,154974752,4692764,39431177,77354919,25996841,"256_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4692764,0,"20-141",33,35.2048024760777,119.684205726092,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_256"
"144","257","lib7",3664609,203239,2014,4416333,1632122,14569362,4247466,45.156712358881,6.3,1.3,24.2,0,0,"directional",1842911,1819684,258197314,8115314,65735630,126249053,45594814,"257_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8115314,0,"20-141",34,33.2884575066274,120.400233435207,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_257"
"145","258","lib7",3371326,187456,1916,4082699,1527366,14985794,3929900,45.0189499300411,6.3,1.3,27.8,0,0,"directional",1692493,1676917,237107555,7488682,60911259,116704845,38895592,"258_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7488682,0,"20-141",35,34.8631009538748,120.141786899217,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_258"
"146","34","lib7",3599035,181829,1496,4332108,1440879,14859006,3379097,50.2661257512436,6.5,1.2,26.2,0,0,"directional",1800303,1797236,243631898,7159961,62680564,118413929,41905412,"34_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7159961,0,"20-141",34,35.4816134618218,115.395539444977,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_34"
"147","35","lib7",1283743,74373,651,1540305,550266,6306191,1254879,49.1291793516635,6.2,1.2,33.4,0,0,"directional",642648,640444,89431644,2612995,23187668,45250498,12596716,"35_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2612995,0,"20-141",34,38.7319809283947,122.304493119964,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_35"
"148","36","lib7",1916458,115883,870,2308520,814549,8183754,1826385,49.6655631936551,6.7,1.3,30,0,0,"directional",961071,954517,125796714,3858726,32295126,63063685,19131080,"36_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3858726,0,"20-141",33,38.9444417736451,117.068580147956,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_36"
"149","370","lib7",2547022,194965,1259,3004928,1019899,9173274,2579419,47.8637036903405,7.2,1.3,26.3,0,0,"directional",1280997,1264766,154063869,5321406,38993695,76219901,25652172,"370_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5321406,0,"20-141",34,36.9389921269254,106.010101465665,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib7_370"
"150","371","lib7",3516852,241297,1744,4247161,1618171,13943523,3795158,46.5604271082852,6.9,1.4,26,0,0,"directional",1774760,1740348,227114365,7553307,57521191,110034386,39749933,"371_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7553307,0,"20-141",34,33.4928356134895,111.297685901023,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib7_371"
"151","377","lib7",1438202,85905,759,1729411,605022,5996561,1716498,44.3806634872192,6.6,1.3,25.9,0,0,"directional",721375,716068,96479848,3240605,24426295,46523604,17198955,"377_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3240605,0,"20-141",34,37.2380474757041,117.121686228343,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","fail","pass","lib7_377"
"152","378","lib7",1417929,84154,641,1701876,570762,5775283,1509276,47.0860166456407,6.9,1.3,26.3,0,0,"directional",710479,706809,90851966,3011359,23059295,43555429,16189321,"378_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3011359,0,"20-141",35,40.2225581968973,111.299038407576,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib7_378"
"153","379","lib7",1824369,106837,866,2218160,800709,8138543,2010821,46.2799722071919,6.6,1.3,28.7,0,0,"directional",914211,909292,122270777,3942027,31170459,59768569,20174337,"379_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3942027,0,"20-141",34,36.3233464218913,117.22422322323,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib7_379"
"154","37","lib7",533105,29321,222,641221,224994,2088006,521790,49.1696304057494,6.9,1.3,26.8,0,0,"directional",268133,264750,33896821,1084216,8607104,16637914,5697582,"37_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1084216,0,"20-141",34,51.9267675564516,111.96946364931,137,"pass","pass","warn","pass","fail","pass","pass","warn","warn","fail","pass","lib7_37"
"155","119","lib8",7386497,397334,2868,8708847,3043547,25205972,7009173,49.9323666781946,6.7,1.3,23.4,0,0,"directional",3726445,3657184,479223150,14793004,120985487,238989973,82289324,"119_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",14793004,0,"20-141",33,23.469102709671,114.328895402178,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_119"
"156","120","lib8",5121173,313111,1991,6027379,1834935,18850168,4152178,53.4208866628794,6.9,1.1,26.8,0,0,"directional",2559026,2560156,318145581,9586462,81138112,158884048,51410939,"120_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9586462,0,"20-141",33,27.954683838849,109.727521790625,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_120"
"157","288","lib8",2834548,231570,1344,3357495,1102825,11096465,2931999,47.2572975818911,7.2,1.3,27.5,0,0,"directional",1423605,1409599,169758126,5998117,43067270,81931902,29202169,"288_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5998117,0,"20-141",35,34.0707556942452,104.188788748202,127,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_288"
"158","289","lib8",1193223,101649,507,1417195,463914,4187496,1123075,49.3486002794933,7.8,1.4,26.2,0,0,"directional",598187,594529,66557967,2417947,16708075,31988649,11792638,"289_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2417947,0,"20-141",34,45.556008278735,97.2730121876121,117,"pass","pass","warn","pass","fail","pass","pass","warn","fail","warn","pass","lib8_289"
"159","316","lib8",1890241,176911,941,2197290,727389,7097380,2148844,44.8349808681033,7.6,1.5,26.6,0,0,"directional",950025,939275,105603885,4215996,26749475,49288516,19543835,"316_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4215996,0,"20-141",35,38.3964842059372,97.2535011892801,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_316"
"160","317","lib8",3092697,266172,1472,3678240,1189550,11654580,3233947,46.9101063945968,7.5,1.4,27.5,0,0,"directional",1550094,1541131,178126663,6592816,45191105,85614549,30798639,"317_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6592816,0,"20-141",35,34.0982857477661,101.694348666791,122,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_317"
"161","318","lib8",1454336,117525,539,1726355,568627,5442272,1368437,49.4621973691102,7.4,1.3,28.7,0,0,"directional",728268,725529,85265690,2940298,21560467,42439513,13528456,"318_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2940298,0,"20-141",34,39.0954687296624,105.394401179744,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_318"
"162","319","lib8",1688236,136352,730,2035670,701501,6184157,1820296,46.3179623823419,7.7,1.5,26.5,0,0,"directional",846519,840987,97671637,3644884,24517416,47075800,17157093,"319_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3644884,0,"20-141",34,38.2031368059622,103.305199013192,122,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_319"
"163","320","lib8",6043293,417748,3007,7157042,2225737,24348530,6114752,48.0549655993861,7.2,1.3,28.7,0,0,"directional",3026496,3013790,359069888,12575793,91611764,173217211,60509604,"320_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",12575793,0,"20-141",35,28.3455264380557,105.408466249405,122,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_320"
"164","321","lib8",3893269,306111,1858,4606104,1473464,15248872,4125771,46.7651457613201,7.4,1.3,28.3,0,0,"directional",1950011,1941400,228938472,8325151,57940463,111099367,38570202,"321_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8325151,0,"20-141",35,30.6294929343231,105.316728549428,122,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_321"
"165","32","lib8",3706813,279811,1615,4319335,1318625,12909807,3112479,52.2152305720878,7.3,1.2,27.2,0,0,"directional",1857320,1847878,216180128,7099103,55222853,107779842,34629666,"32_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7099103,0,"20-141",33,31.8221572804332,102.769631036484,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_32"
"166","33","lib8",4652459,341106,1896,5445439,1761772,16965679,3962479,51.9477014628334,7,1.2,27.5,0,0,"directional",2336840,2313723,284424818,8956044,72502884,143051606,44697438,"33_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8956044,0,"20-141",33,28.5008172050378,108.02476294221,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib8_33"
"167","365","lib8",1631227,128250,532,1940347,681674,6279191,1550838,49.2770929654731,7.2,1.3,30.6,0,0,"directional",820608,810087,99038937,3310315,24963980,50904871,14268874,"365_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3310315,0,"20-141",33,36.9771508226075,110.150311677288,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_365"
"168","366","lib8",1026666,73279,406,1218217,430347,3822386,933565,50.4873838830397,7.2,1.3,29.1,0,0,"directional",515845,510415,62855272,2033510,15815104,32239916,9329302,"366_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2033510,0,"20-141",33,41.6276488905732,110.700581752733,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib8_366"
"169","407","lib8",2054317,141103,744,2432098,810947,7612752,1866173,50.5790954435858,7.1,1.2,28,0,0,"directional",1029617,1023956,126415524,4061593,31882216,64097545,19579966,"407_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4061593,0,"20-141",33,34.7989230588702,110.747384831518,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_407"
"170","408","lib8",2987723,215097,1386,3501213,1157266,10448330,2851413,49.3493230273761,7,1.2,25.2,0,0,"directional",1502413,1483924,184518168,6054233,46726444,91645936,31038979,"408_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6054233,0,"20-141",33,30.8831127376706,108.657342226505,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_408"
"171","409","lib8",4977483,340313,2484,5883861,1996036,19796623,4852938,48.9392702630902,6.7,1.2,28.4,0,0,"directional",2499698,2475301,319439717,10170734,81639598,160123005,50000594,"409_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",10170734,0,"20-141",34,26.6179787883171,112.443911619358,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_409"
"172","410","lib8",4029128,314826,1984,4708117,1524639,14684048,4263977,46.8071595834121,7.1,1.3,25.2,0,0,"directional",2029727,1997417,243933575,8607931,61782402,117637816,43596553,"410_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",8607931,0,"20-141",34,29.4477372252322,104.675657832294,132,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib8_410"
"173","49","lib8",6222553,393714,2260,7294689,2322103,21772079,5000245,53.5664492060956,6.9,1.2,26.9,0,0,"directional",3115117,3105176,384652706,11616512,98461315,195708406,59094114,"49_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",11616512,0,"20-141",33,26.145584126796,109.708046528941,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_49"
"174","50","lib8",2844688,238897,1231,3328144,1095070,11460129,2689009,49.2791975323399,7,1.2,31.7,0,0,"directional",1429787,1413670,173322497,5772594,44467671,88235419,24736064,"50_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5772594,0,"20-141",34,32.5222009534017,106.662776041412,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_50"
"175","51","lib8",3064424,249036,1371,3583411,1065603,10479246,2992261,48.5975196175029,7.6,1.3,25,0,0,"directional",1535766,1527287,172907349,6305721,43646761,82616222,31516106,"51_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6305721,0,"20-141",35,34.6034132102827,97.3860118454337,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_51"
"176","52","lib8",4309362,377427,2363,5085587,1638558,17683650,4701660,45.9006807194671,7.1,1.3,28.9,0,0,"directional",2160848,2146151,262899416,9388449,66817677,128159937,43514007,"52_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9388449,0,"20-141",35,28.0468889752765,105.688512660611,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib8_52"
"177","121","lib9",2272004,175014,1197,2933828,1377274,8526768,2438330,46.5064924750499,8.1,2.1,27,0,0,"directional",1146748,1124059,131768257,4885348,33109244,62774672,23046471,"121_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4885348,0,"20-141",36,37.3672076717577,100.711218115884,117,"pass","pass","pass","pass","fail","warn","pass","warn","fail","fail","pass","lib9_121"
"178","122","lib9",834484,84094,410,1080015,508704,3098324,873637,46.5616011471838,8.8,2.3,29.2,0,0,"directional",418646,415428,44906214,1792215,11167390,21551026,7500755,"122_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1792215,0,"20-141",35,50.1037935003801,95.1553664041424,107,"pass","pass","pass","pass","fail","pass","pass","warn","warn","fail","pass","lib9_122"
"179","123","lib9",2255131,206804,1065,2873150,1395399,8716347,2459641,45.8213182118899,8.1,2.1,28.3,0,0,"directional",1136803,1117263,131342431,4921576,32776733,63532142,22048660,"123_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4921576,0,"20-141",35,36.3582942087774,103.306735687918,117,"pass","pass","pass","pass","fail","fail","pass","warn","fail","fail","pass","lib9_123"
"180","177","lib9",6924268,543140,3429,7818683,2048092,26270292,7554402,46.0947648785333,6.7,1,26.8,0,0,"directional",3470013,3450826,428557370,15021810,108201740,212464746,71753817,"177_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",15021810,0,"20-141",34,23.3749459827055,108.51516648127,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib9_177"
"181","178","lib9",3603559,341892,1691,4076976,996186,13188881,3950708,45.6368596427706,7.4,1,26.1,0,0,"directional",1809407,1792461,201219954,7896159,50648604,94960356,37348951,"178_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7896159,0,"20-141",35,31.1529775420658,95.5692085227767,107,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib9_178"
"182","179","lib9",3543257,192943,1246,4037284,1061230,13874555,3034864,52.3293975658774,6.3,0.9,27.6,0,0,"directional",1772337,1769674,234221444,6771064,59608748,119232798,36406829,"179_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6771064,0,"20-141",33,25.5223674952562,117.446090451959,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib9_179"
"183","180","lib9",3833757,229166,1425,4387853,1191731,13900459,3696331,49.4088349215015,6.7,1,25.9,0,0,"directional",1918787,1913545,242535402,7759254,61157366,122159994,39737999,"180_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7759254,0,"20-141",33,26.1816296274625,112.619018271602,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib9_180"
