id,site,age_cat,prepost,fulldate,attend,dist,MS,surv,blue_nextyear,lyre_nextyear
D229783,NYR,adult,pre,2006-01-26,0.75,18.36,0,1,NA,NA
D229783,NYR,adult,post,2006-05-17,NA,NA,NA,NA,NA,NA
D237277,NYR,adult,pre,2007-02-23,0.94,19.65,2,0,NA,NA
D237277,NYR,adult,post,2007-05-08,NA,NA,NA,NA,NA,NA
D237278,NYR,adult,pre,2007-02-23,0.97,12.04,1,0,NA,NA
D237278,NYR,adult,post,2007-05-15,NA,NA,NA,NA,NA,NA
D237361,NYR,yearling,pre,2007-01-24,0.93,15.03,0,1,0.266,223
D237361,NYR,yearling,post,2007-05-15,NA,NA,NA,NA,0.266,223
D237378,NYR,yearling,pre,2007-02-02,0.87,5.39,3,0,NA,NA
D237378,NYR,yearling,post,2007-05-15,NA,NA,NA,NA,NA,NA
D237389,KUM,yearling,post,2007-05-09,NA,NA,NA,NA,NA,NA
D237394,NYR,yearling,post,2007-05-09,NA,NA,NA,NA,0.233,226
D217821,NYR,adult,post,2006-05-15,NA,NA,NA,NA,NA,NA
D217949,NYR,adult,post,2006-05-17,NA,NA,NA,NA,0.266,234
D217965,NYR,adult,post,2006-05-10,NA,NA,NA,NA,0.242,216
D217977,KUM,adult,pre,2006-01-30,0.94,5.1,2,0,NA,NA
D229025,KUM,adult,post,2007-05-07,NA,NA,NA,NA,NA,NA
D229082,NYR,adult,post,2006-05-12,NA,NA,NA,NA,NA,NA
D229096,NYR,adult,post,2007-05-08,NA,NA,NA,NA,0.232,215
D229160,SAA,adult,pre,2007-01-30,0.64,15.23,1,0,NA,NA
D229162,SAA,adult,post,2007-05-15,NA,NA,NA,NA,NA,NA
D229167,KUM,adult,post,2006-05-10,NA,NA,NA,NA,0.26,218
D229167,KUM,adult,post,2007-05-04,NA,NA,NA,NA,0.309,217
D229170,SAA,adult,post,2006-05-10,NA,NA,NA,NA,0.25,223
D229170,SAA,adult,post,2007-05-05,NA,NA,NA,NA,NA,NA
D229186,SAA,adult,post,2006-05-11,NA,NA,NA,NA,NA,NA
D229193,KUM,adult,post,2007-05-04,NA,NA,NA,NA,0.258,230
D229509,KUM,adult,post,2006-05-16,NA,NA,NA,NA,NA,NA
D229516,LEH,yearling,post,2006-05-13,NA,NA,NA,NA,NA,NA
D229714,NYR,yearling,post,2006-05-15,NA,NA,NA,NA,NA,NA
D229718,NYR,yearling,post,2006-05-16,NA,NA,NA,NA,0.213,231
D229772,NYR,adult,pre,2007-01-24,0.88,20.22,0,1,0.243,218
D229776,LEH,adult,pre,2007-01-23,0.79,16,0,1,NA,NA
D237389,KUM,yearling,pre,2007-02-20,0.58,38.01,0,1,NA,NA
D237394,NYR,yearling,pre,2007-02-15,0.97,6.4,10,1,0.233,226
D229516,LEH,yearling,pre,2006-01-31,1,13.93,2,1,NA,NA
