gene_id
HES1
GATA2
TPX2
BCL2L1
VEZF1
SRSF1
NFIC
EIF4G1
PSMD2
RORA
CSRP1
PPP1R12B
SYT2
PHLDA3
ARID1A
RAI1
ARHGAP26
GMPPA
NFIA
GPR119
SLC25A14
RBMX2
ENOX2
RNF19B
BCDIN3D
KRT80
MAPKAP1
NTM
AKNA
TRIM32
WHRN
SSTR4
MAB21L2
SLC4A1
UBTF
SLC25A39
RUNDC3A
PRPS1L1
GLRA4
ARHGEF18
PEX11G
C19orf45
ANKRD11
PANK4
PRDM16
HES5
UBA52
FKBP8
CRLF1
TMEM59L
C19orf60
TLE3
TRNAK-CUU-2
AMMECR1
NOCT
ELF2
FAAP100
PPL
SSBP3
ASTN2
CAMTA1
GSE1
KIAA1671
MECOM
UCKL1
SAMD10
STOML1
PML
PMLL
ISLR2
CDK6
BAIAP2L2
PICK1
SLC16A8
INPP5A
RASL10A
ZNF423
GINS2
AURKAIP1
MXRA8
MACF1
PPP1R1B
STARD3
ASIC4
C5H14orf4
ATVR1
IFT80
C9H3orf80
RREB1
FAM192A
RSPRY1
FAM212B
DDX20
ZNF521
FURIN
MFAP1
DOT1L
AP3D1
NLRC5
LRBA
RNF44
IDH2
FAF2
AP3S2
ZNF710
CDHR2
SRRM4
MED1
CDK12
NCOR2
ZNF609
SLCO3A1
PITPNM1
SPEG
AIP
NLRP3
DES
FOXO3
CEND1
MRPS6
WBP1L
ARHGAP39L
TRNAE-UUC-6
RBM23
H1F0
TRIOBP
GALR3
GCAT
TAL1
STIL
CDC34
TPGS1
MADCAM1
SP2
LRRC46
SCRN2
MRPL10
PLEKHA6
MIR6618
CSNK2A2
CFAP20
WDR81
MIR22
TLCD2
GSS
ACSS2
GPR37L1
DCHS1
TPP1
SLC22A4
PDLIM4
FLOT2
FAM222B
ERAL1
MIR451B
MIR144
STAM2
CBX2
ENPP7
CBX8
RBFOX3
TSC22D4
SUN1
GHDC
HCRT
PIBPPDD4L
DNAAF5
KCNH4
SSPO
NFKBIE
TRIM47
TRIM65
WBP2
UNC13D
BCL11A
C15orf39
PPCDC
LOXL1
MUC1
BCOR
CBFA2T3
RAMP2
EZH1
CCR10
CNTNAP1
ZBTB26
ZBTB6
GAPVD1
C1D
EHMT1
ARFGAP1
NKAIN4
NEUROD2
HEMK1
MAPKAPK3
CISH
EML1
GADD45A
KCNIP3
GMCL1
ZNF703
MIR16-1
MIR15A
CCDC173L
KLHL23
PHOSPHO2
CCDC173
RPL23
TRNAC-GCA-10
TRNAC-GCA-9
TRNAC-GCA-7
TRNAC-GCA-2
TRNAC-GCA-3
TRNAC-GCA-5
CWC25
ARHGAP33L4
C3orf33
P2RY1
TCF7
P4HTM
HMG20A
CCNE1
HSPB1
PEX12
YBX1
PPIH
TOP2A
GJD3
PSMD3
CTNND1
ATP2A3
HOXA10
HOXA9
DIP2C
HOXA10-AS
HOXA11
KANSL1
MIR7473
SLC38A1
SLC38A10
BAHCC1
RTKN2
CLC2DL4
BAK1
TSPO2
ANKRD52
PRDM13
KMT2D
SLC39A5
NEO1
ZCCHC7
ADPGK
RBM47
NFE2L1
CBX1
SKAP1
ACACA
ELP3
BTC
GSR
PPP2CB
PARM1
ETV5
DGKG
HMGB1
WDR62
KRT24
KRT13
PTPRF
KDM4A
USP6
EHD3
WNK4
FSCN2
VPS25
CAPN14
TRIM8
IL23A
PAN2
APOF
TIMELESS
MIP
OTUD7B
RAD18
SRGAP3
STX8
CIR1
ANGPTL4
RAB11B
NCKIPSD
IP6K2
HYAL2
TUSC2
ZMYND10
HYAL1
RASSF1
BLACAT1
MIR135A-3
TRNAW-CCA-6
KLHDC8A
JUP
HAP1
P3H4
PBX1
GASTL
FRS3
PGC
TFEB
TMEM183A
PPFIA4
SH2B3
FAM109A
E4F1
BRICD5
ANKRD9
PGP
MLST8
ZDHHC4
IQCB1
EAF2
NAT8
VPS16
NAT8B
MIR6606
RBM3
C19orf24
FBRSL1
ADRB1
CATSPER4
XPO7
GNLY
GATSL3
TBC1D10A
WNK2
SLC2A4RG
MIR1388A
MIR1388B
USP19
SLC6A8
QARS
PTRF
ATP6V0A1
C4BPG
CD55
CR2
AARSD1
PTGES3L
G6PC
RUNDC1
RPL27
IFI35
TNRC6A
PGS1
SOCS3
B3GNT4
LRRC43
BTBD11
MIR1764
DIABLO
DDA1
CILP2
ANO8
PLVAP
RBM27
LAMA5
SNX1
PATL2
PPIB
SNX22
CFDP1
EPN3
RSAD1
SPATA20
MAFG
SIRT7
LDLRAD3
GSK3A
PRDM12
EXOSC2
ZFPM1
NES
CRABP2
ESPN
ACOT7
RAB3GAP2
CTSK
NDUFS2
ADAMTS4
SSR2
SCAMP3
CLK2
CTSS
ZFR2
LSAMP
RBM10
TCF3
SF3A1
CACNA2D4
ADIPOR2
CHUNK-1
GPATCH8
KCNG2
ILK
TAF10
CKMT1B
PDIA3
PPIP5K1
FAM65A
DNAJC5
SLC16A12
PANK1
BRE
PTK7
MIR6542
SRF
CSNK1G2
GSL
SCAMP4
KLF9
CSNK1G1
PRKCE
ANKRD27
RGS9BP
FBF1
MRPL38
RAD51B
SKI
CDC42EP4
TMEM79
CCT3
GLMP
SDK2
C17ORF80
SMG5
CPSF4L
TNIK
KCTD6
PDHB
PXK
ACOX2
VEPH1
PQLC2L
FEZF1
PHKA1
BMP15
SHROOM4
VSX2
CMIP
CD200
CD200L
WDR76
BSG
CTSH
BLM
EIF3D
HNF1B
DDX52
DNAJC6
AK4
TMEM120B
MORN3
ORAI1
SERPINI1
PDCD10
ANKRD17
COX18
ZDHHC5
CLP1
SERPING1
YPEL4
TRNAA-AGC-16
SHOX2
RSRC1
NRK
MTMR4
SUPT4H1
SNX17
ZNF513
RUNX3
GTF3C2
RNF19AL
EIF2B4
FTO
ANKRD40
ABCC3
LUC7L3
STAT5A
RUSC1
ASH1L
FDPS
PTPN14
RRAS
ZMYND19
RPL12
HMGN1
STPG3
IFT81
P2RX7
PTPDC1
MIRLET7D
MIRLET7F1
MIRLET7F2
AIM1L
LIN28A
C1orf106
ELAPOR1
UBE2T
UCN
DNAJC5G
SLC30A3
NUMB
N4BP2L1
ZC3H12A
SCNM1
GABPB2
VPS72
MLLT11
TMOD4
PRUNE1
CDC42SE1
PTPN23
EXOC6B
RCOR1
ALC
SYTL5
ZKSCAN7
SLX4
HMOX2
ADRA2B
ELMOD3
RETSAT
GPAT2
MAP3K14
ABHD17A
STK3
OSR2
NDUFAF2
SMIM15
NDFIP1
CNOT6L
SDF2L1
MIR130B
YDJC
SLC47A2
SLC47A1
ALDH3A2
CS
STAT2
COQ10A
