gene_id
FBXO7
COLEC12
PELO
ANGPT2
MCPH1
C1orf35
ARF1
PDCD2L
CEBPA
CBLN1
UBA2
BCORL1
MARS2
RAB33A
CTNND1
EFNB1
CHRNG
PRSS56
EIF4E2
CHRND
MIR1755
ANKRD11
ARHGAP33L4
BCOR
FOXD3
CYP2J21
ORMDL3
ZPBP2
GSDMA
LRRC3C
R3HDM2
EIF4B
NFIC
SDR42E2
