id,site,fulldate
D217910,NYR,2006-05-10
D229097,SAA,2006-05-07
D229103,SAA,2006-05-06
D229160,SAA,2005-05-13
D229160,SAA,2007-05-05
D229161,SAA,2005-05-13
D229165,KUM,2007-05-06
D229658,KUM,2007-05-07
D229679,KUM,2007-05-06
D229735,KUM,2007-05-06
D229775,SAA,2007-05-10
D229776,LEH,2007-05-09
D237278,NYR,2007-05-15
D237361,NYR,2007-05-15
D237378,NYR,2007-05-15
D237389,KUM,2007-05-09
D229025,KUM,2007-05-07
D229162,SAA,2007-05-15
D229167,KUM,2007-05-04
D229170,SAA,2007-05-05
