region,model,n,n_total,perc
Downstream,All,46035,328639,14.0077714452636
Exon,All,35384,328639,10.7668292564181
Intron,All,32876,328639,10.0036818515149
Promoter,All,61077,328639,18.5848301631882
TSS,All,22620,328639,6.88293233608914
Upstream,All,39079,328639,11.891163252079
Downstream,Time period,142,1026,13.8401559454191
Exon,Time period,103,1026,10.0389863547758
Intron,Time period,154,1026,15.009746588694
Promoter,Time period,138,1026,13.4502923976608
TSS,Time period,33,1026,3.21637426900585
Upstream,Time period,146,1026,14.2300194931774
